industry,wage
"Agriculture, forestry, fishing and hunting",32505
"Mining, quarrying, and oil and gas extraction",68779
Utilities,92990
Construction,57029
Manufacturing,58765
Wholesale trade,66872
Retail Trade,27124
Transportation and warehousing,47402
Information,66142
Finance and insurance,73253
Real estate and rental and leasing,45523
Professional and technical services,72542
Management of companies and enterprises,105738
Administrative and waste services,32797
Educational services,35420
Health care and social assistance,45227
"Arts, entertainment, and recreation",32284
